artist,title,popularity,year,genre,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,release_decade,mood
Dan Berk,Lego House,4,2000,acoustic,0.575,0.391,0.0328,0.652,0.0,0.0775,0.527,79.932,2000,peaceful
Eddie Vedder,The Dark,38,2022,acoustic,0.433,0.961,0.0879,0.00123,0.0,0.0797,0.476,149.925,2020,peaceful
Diane Birch,The End,29,2017,acoustic,0.327,0.274,0.0395,0.792,0.041,0.107,0.217,123.946,2010,peaceful
Johnnyswim,Let It Matter,27,2016,acoustic,0.552,0.541,0.0527,0.108,0.0,0.134,0.285,74.939,2010,peaceful
Agustín Amigó,En el Bosque,33,2022,acoustic,0.425,0.194,0.113,0.979,0.937,0.109,0.272,84.74,2020,peaceful
Priscilla Ahn,I Don't Have Time To Be In Love,24,2011,acoustic,0.604,0.28,0.0334,0.724,0.0576,0.134,0.146,129.798,2010,peaceful
Aqualung,Easier To Lie,21,2005,acoustic,0.389,0.54,0.0318,0.478,0.0151,0.189,0.24,146.391,2000,peaceful
Georg Erixon,Daniel,20,2018,acoustic,0.622,0.226,0.0419,0.967,0.933,0.112,0.272,124.218,2010,peaceful
JJ Heller,Only Have One,11,2009,acoustic,0.62,0.254,0.0364,0.749,1.57e-06,0.113,0.376,74.997,2000,peaceful
Ichiko Aoba,"Hoshi no Present - ""gift"" ver.",32,2020,acoustic,0.606,0.0743,0.0313,0.971,0.715,0.0958,0.0397,91.848,2020,peaceful
Mischief Brew,Roll Me Through the Gates of Hell - Acoustic Version,25,2016,acoustic,0.488,0.627,0.0534,0.416,0.0,0.103,0.757,118.434,2010,peaceful
Joe Purdy,Kristine,31,2016,acoustic,0.625,0.452,0.033,0.689,0.373,0.107,0.429,92.883,2010,peaceful
Amos Lee,New Love,27,2016,acoustic,0.601,0.515,0.0344,0.123,0.00289,0.108,0.457,113.825,2010,peaceful
Aimyon,What If...,33,2019,acoustic,0.568,0.802,0.0317,0.0814,2.17e-06,0.14,0.562,124.147,2010,peaceful
Will Moore,Wonderful Tonight,25,2019,acoustic,0.549,0.193,0.0437,0.744,0.724,0.106,0.268,88.688,2010,peaceful
Eddie Vedder,Masters of War,38,2009,acoustic,0.339,0.366,0.0346,0.833,1.9e-06,0.704,0.662,175.612,2000,peaceful
Howie Day,"End of Our Days - Live at State Theater, Portland, ME - December 2003",1,2003,acoustic,0.491,0.46,0.0274,0.125,0.00649,0.182,0.194,75.853,2000,peaceful
Patty Griffin,Florida,22,2004,acoustic,0.507,0.38,0.0269,0.773,0.000145,0.117,0.0763,104.194,2000,peaceful
Steve Moakler,Holiday at Sea,21,2014,acoustic,0.394,0.524,0.0321,0.436,0.0,0.0963,0.323,179.949,2010,peaceful
Augustana,Fit Together,10,2014,acoustic,0.622,0.555,0.0278,0.854,6.47e-05,0.095,0.361,118.01,2010,peaceful
Motohiro Hata,シンクロ,29,2007,acoustic,0.551,0.654,0.0308,0.214,0.0,0.0688,0.571,147.952,2000,peaceful
Steve Moakler,Thirty,16,2018,acoustic,0.613,0.478,0.0337,0.43,0.000409,0.108,0.304,76.031,2010,peaceful
Lightnin' Hopkins,Gotta Move,4,2006,acoustic,0.7,0.527,0.0355,0.906,0.0821,0.0968,0.625,89.181,2000,peaceful
Landon Pigg,Jailbreak,2,2006,acoustic,0.5,0.843,0.0327,0.000311,2.26e-05,0.309,0.779,149.949,2000,peaceful
Jack Savoretti,For the Last Time,22,2012,acoustic,0.591,0.702,0.0318,0.052,0.0,0.113,0.447,102.039,2010,peaceful
Greg Laswell,Royal Empress,16,2018,acoustic,0.534,0.404,0.0357,0.254,0.0168,0.144,0.308,120.046,2010,peaceful
I Am Kloot,Morning Rain - Remastered,22,2000,acoustic,0.73,0.506,0.0312,0.537,0.0,0.125,0.487,115.777,2000,peaceful
Scattered Smothered and Covered,Mudcat,0,2002,acoustic,0.757,0.534,0.0409,0.31,0.000115,0.126,0.548,112.962,2000,peaceful
Ray LaMontagne,Be Here Now,42,2006,acoustic,0.425,0.197,0.0307,0.468,0.622,0.0662,0.235,116.468,2000,peaceful
Memphis Minnie,I'm a Bad Luck Woman,0,2000,acoustic,0.763,0.244,0.153,0.945,0.00113,0.094,0.896,134.173,2000,peaceful
Jackie Mittoo,Scores of Memories,0,2013,afrobeat,0.794,0.856,0.0441,0.0255,0.79,0.0312,0.797,131.145,2010,nostalgic
TB1,Taking Over,1,2015,afrobeat,0.787,0.918,0.28,0.193,0.0,0.899,0.871,111.924,2010,nostalgic
Nolly,Nwa Jesus - Live,0,2022,afrobeat,0.736,0.458,0.378,0.109,0.0,0.119,0.61,103.925,2020,nostalgic
St. Peter & The Holymen,Menya Wo Aye,0,2015,afrobeat,0.549,0.544,0.0628,0.939,0.00189,0.0572,0.743,92.107,2010,nostalgic
Okey Sokay,That Wonderful Name,7,2023,afrobeat,0.492,0.302,0.0264,0.826,0.0,0.101,0.227,74.991,2020,nostalgic
KobbySalm,Suicidal,0,2021,afrobeat,0.793,0.683,0.258,0.31,0.0,0.106,0.363,112.014,2020,nostalgic
Abayomy Afrobeat Orquestra,Sensitiva,31,2016,afrobeat,0.589,0.539,0.028,0.408,0.0134,0.16,0.691,93.954,2010,nostalgic
Ernest Ranglin,Yardie,3,2015,afrobeat,0.793,0.619,0.0582,0.208,0.305,0.0863,0.965,144.965,2010,nostalgic
Fanga,Crache la douleur,0,2013,afrobeat,0.745,0.713,0.0847,0.064,0.000209,0.0669,0.97,135.314,2010,nostalgic
Orgone,Powerfeed,6,2013,afrobeat,0.668,0.873,0.0364,0.233,0.782,0.189,0.801,104.195,2010,nostalgic
Sir Victor Uwaifo,Osulelemule (Ekassa 29),0,2010,afrobeat,0.553,0.665,0.0454,0.147,0.165,0.73,0.759,87.887,2010,nostalgic
Satanique Samba Trio,Badtriptronics #21,0,2019,afrobeat,0.565,0.894,0.0364,0.0228,0.508,0.164,0.817,141.034,2010,nostalgic
Hugh Masekela,Grazin' in the Grass,11,2002,afrobeat,0.638,0.516,0.0344,0.511,0.91,0.692,0.692,110.558,2000,nostalgic
The Funk Ark,Headband,1,2014,afrobeat,0.738,0.91,0.0494,0.345,0.83,0.471,0.539,113.0,2010,nostalgic
Wendy Shay,Shay On You,16,2019,afrobeat,0.643,0.701,0.43,0.187,0.0,0.13,0.709,99.954,2010,nostalgic
Ebo Taylor,Yen Ara,41,2018,afrobeat,0.638,0.872,0.0361,0.261,0.467,0.0712,0.974,95.333,2010,nostalgic
Kokolo,Root To The Fruit,0,2006,afrobeat,0.573,0.808,0.128,0.239,0.319,0.0823,0.91,133.025,2000,nostalgic
PCE Crew,Wasere,0,2010,afrobeat,0.756,0.839,0.0463,0.371,0.0,0.217,0.901,108.765,2010,nostalgic
Speedometer,PUCKER UP,1,2010,afrobeat,0.742,0.94,0.0425,0.0244,0.244,0.0617,0.973,106.139,2010,nostalgic
Chicago Afrobeat Project,Tibet on It,5,2007,afrobeat,0.734,0.829,0.0418,0.0203,0.732,0.0705,0.912,121.018,2000,nostalgic
Whitefield Brothers,Alin,11,2010,afrobeat,0.663,0.749,0.0345,0.421,0.107,0.201,0.777,95.974,2010,nostalgic
Son Palenque,Cho Fao,1,2012,afrobeat,0.73,0.918,0.17,0.139,0.0,0.0933,0.964,138.194,2010,nostalgic
Juanafé,Amar Amando,7,2015,afrobeat,0.558,0.467,0.0357,0.878,0.0657,0.12,0.699,137.625,2010,nostalgic
Jor'dan Armstrong,Take It Away,4,2009,afrobeat,0.349,0.738,0.0628,0.169,0.0,0.131,0.524,79.325,2000,nostalgic
Criolo,Menino Mimado,40,2017,afrobeat,0.83,0.604,0.0355,0.563,0.00108,0.221,0.82,144.008,2010,nostalgic
Passo Largo,Brincalhorda,0,2016,afrobeat,0.364,0.944,0.0612,0.0259,0.92,0.18,0.753,149.608,2010,nostalgic
Andrew Bello,Coast to Coast,5,2018,afrobeat,0.746,0.911,0.0485,0.0642,0.00176,0.0551,0.965,101.996,2010,nostalgic
QUITAPENAS,Me Llevaba - Glenn Red Remix,0,2016,afrobeat,0.837,0.698,0.104,0.104,0.0828,0.244,0.792,120.016,2010,nostalgic
Aphrodesia,Ayala,0,2009,afrobeat,0.571,0.82,0.0493,0.0491,0.197,0.0853,0.875,176.717,2000,nostalgic
El Rego,Vive Le Renouveau,6,2011,afrobeat,0.705,0.333,0.0808,0.733,7.35e-05,0.224,0.791,135.865,2010,nostalgic
Daughtry,Asylum,36,2021,alt-rock,0.352,0.908,0.081,9.85e-05,0.000137,0.0851,0.584,125.92,2020,moody
The Technicolors,Songbird,37,2015,alt-rock,0.487,0.425,0.0304,0.927,0.0997,0.371,0.209,142.895,2010,moody
Queens of the Stone Age,Hideaway,40,2017,alt-rock,0.536,0.696,0.0409,0.0287,0.562,0.0993,0.619,117.99,2010,moody
Pearl Jam,The End,49,2009,alt-rock,0.587,0.252,0.0358,0.842,0.0,0.0946,0.332,117.296,2000,moody
Modest Mouse,"The Ground Walks, with Time in a Box",44,2015,alt-rock,0.65,0.957,0.0439,0.0102,0.0125,0.193,0.877,128.009,2010,moody
half•alive,Nobody (feat. dodie),63,2023,alt-rock,0.721,0.707,0.09,0.309,0.0,0.23,0.652,99.993,2020,moody
DREAMERS,Internet Junkie,26,2023,alt-rock,0.469,0.88,0.0465,0.0119,0.0,0.121,0.332,148.327,2020,moody
Dead Poet Society,.swvrm.,38,2019,alt-rock,0.582,0.965,0.0863,0.0142,0.00177,0.411,0.263,118.021,2010,moody
Skillet,Destiny,47,2022,alt-rock,0.32,0.966,0.265,0.00915,0.0,0.406,0.208,112.01,2020,moody
Travis Cottrell,What A Beautiful Name / Agnus Dei - Medley,50,2018,alt-rock,0.445,0.45,0.0356,0.803,0.0,0.0555,0.122,136.046,2010,moody
The New Pornographers,Whiteout Conditions,36,2017,alt-rock,0.569,0.975,0.0416,0.00199,3.01e-06,0.249,0.581,136.047,2010,moody
St. Lucia,Love Somebody,31,2016,alt-rock,0.562,0.547,0.0329,0.121,2.58e-06,0.159,0.503,142.578,2010,moody
Rend Collective,Coming Home,32,2015,alt-rock,0.638,0.6,0.0467,0.0131,0.0,0.142,0.392,107.977,2010,moody
✝✝✝ (Crosses),Bitches Brew,54,2014,alt-rock,0.551,0.661,0.033,0.00121,0.000567,0.147,0.589,88.02,2010,moody
Barns Courtney,Rather Die,54,2017,alt-rock,0.671,0.883,0.0386,0.0116,2.77e-06,0.351,0.773,128.056,2010,moody
Dead Poet Society,Sound and Silence,43,2015,alt-rock,0.401,0.85,0.11,0.00421,0.0,0.171,0.494,180.112,2010,moody
Bad Suns,Learn to Trust,33,2014,alt-rock,0.649,0.842,0.076,0.00428,3.03e-05,0.16,0.7,92.955,2010,moody
Kasabian,Re-Wired,31,2011,alt-rock,0.692,0.821,0.0369,0.0137,6.23e-05,0.417,0.469,114.986,2010,moody
Hot Chip,Ready For The Floor,55,2008,alt-rock,0.764,0.759,0.0413,0.00903,0.0,0.0746,0.937,128.999,2000,moody
Atreyu,In Our Wake,43,2018,alt-rock,0.546,0.934,0.0773,0.000954,2.53e-05,0.193,0.633,129.967,2010,moody
Jeremy Camp,Tonight,25,2006,alt-rock,0.505,0.894,0.0513,0.00501,0.0,0.184,0.639,127.893,2000,moody
Unspoken,God Help Me,48,2023,alt-rock,0.62,0.439,0.0319,0.172,0.0,0.129,0.239,115.992,2020,moody
Finger Eleven,One Thing,56,2003,alt-rock,0.588,0.555,0.0334,0.447,0.0,0.0806,0.445,151.991,2000,moody
The Orphan The Poet,Feelin' Good (Could Be Better),41,2022,alt-rock,0.737,0.898,0.0579,0.0133,0.0,0.358,0.89,133.008,2020,moody
Black Pistol Fire,Crows Feet,29,2012,alt-rock,0.389,0.829,0.15,0.0618,0.00125,0.168,0.435,122.051,2010,moody
Dead By Sunrise,Fire,42,2009,alt-rock,0.544,0.95,0.0584,0.0163,1.85e-06,0.3,0.179,122.031,2000,moody
Yeah Yeah Yeahs,Tick,36,2003,alt-rock,0.533,0.971,0.115,0.00234,0.518,0.0608,0.773,143.723,2000,moody
Steve Earle,Creepy Jackalope Eye,0,2023,alt-rock,0.539,0.708,0.0308,0.321,0.0935,0.11,0.816,134.994,2020,moody
Deftones,(L)MIRL,40,2016,alt-rock,0.312,0.759,0.0342,0.00116,0.791,0.108,0.0916,140.069,2010,moody
Brandon Heath,Jesus In Disguise,42,2012,alt-rock,0.514,0.697,0.026,0.183,4.37e-05,0.358,0.503,83.962,2010,moody
Fabrizio Paterlini,Eyes Closed,31,2019,ambient,0.373,0.00455,0.0395,0.992,0.947,0.109,0.0806,108.016,2010,chill
John Luther Adams,The Light That Fills the World,7,2002,ambient,0.119,0.252,0.0367,0.862,0.95,0.289,0.034,151.378,2000,chill
René Aubry,Blue Lady,17,2010,ambient,0.608,0.0503,0.0538,0.964,0.944,0.0728,0.197,99.313,2010,chill
Dear Gravity,"In Light, Ascending",23,2022,ambient,0.121,0.172,0.038,0.937,0.945,0.26,0.0382,89.08,2020,chill
Proem,Bites Their Tongue,12,2004,ambient,0.485,0.447,0.059,0.389,0.71,0.205,0.176,129.971,2000,chill
Fabrizio Paterlini,Dark Room,29,2020,ambient,0.275,0.0915,0.039,0.983,0.909,0.0916,0.133,67.324,2020,chill
Brannan Lane,Sonic Pillow,0,2002,ambient,0.237,0.092,0.0432,0.755,0.238,0.247,0.0338,117.268,2000,chill
Gustavo Lamas,Entre,0,2005,ambient,0.815,0.661,0.0887,0.000816,0.871,0.213,0.611,129.969,2000,chill
amiina,Café,41,2016,ambient,0.711,0.391,0.0447,0.927,0.91,0.112,0.459,133.852,2010,chill
Chad Lawson,"Nocturne in E-Flat Major, Op. 9, No. 2 (Arr. By Chad Lawson for Piano, Violin, Cello)",13,2014,ambient,0.185,0.0689,0.0438,0.949,0.702,0.113,0.0603,78.075,2010,chill
Max Richter,Nothing's Gonna Stop Me Now,17,2017,ambient,0.268,0.0368,0.0353,0.988,0.961,0.0813,0.123,70.921,2010,chill
Mree,To See the Light,16,2017,ambient,0.388,0.388,0.0334,0.894,0.257,0.0875,0.119,72.794,2010,chill
Keaton Henson,Petrichor (feat. Ren Ford),42,2014,ambient,0.275,0.159,0.0383,0.941,0.941,0.369,0.123,123.127,2010,chill
Abstract Aprils,Radius,37,2022,ambient,0.49,0.204,0.0364,0.939,0.895,0.11,0.0382,134.022,2020,chill
zakè,Fallow,31,2023,ambient,0.0955,0.0524,0.0376,0.658,0.819,0.0728,0.0343,71.364,2020,chill
Tim Hecker,Blood Rainbow,25,2006,ambient,0.064,0.509,0.0604,0.000492,0.958,0.183,0.049,74.432,2000,chill
John Lyell,The Edge of Forever,0,2002,ambient,0.238,0.172,0.055,0.931,0.911,0.113,0.0388,70.854,2000,chill
Aldous Harding,Heaven is Empty,28,2019,ambient,0.612,0.0336,0.0516,0.873,0.000137,0.125,0.126,90.981,2010,chill
Rudy Adrian,Alpine Meadow,1,2003,ambient,0.508,0.383,0.0301,0.481,0.899,0.11,0.124,150.081,2000,chill
Little Symphony,Serendipia,34,2020,ambient,0.106,0.0131,0.0467,0.917,0.978,0.114,0.0388,92.244,2020,chill
Casino Versus Japan,Pinwheel,14,2004,ambient,0.122,0.0197,0.0343,0.988,0.949,0.114,0.352,175.692,2000,chill
Igneous Flame,Mysterium,10,2013,ambient,0.0622,0.234,0.0455,0.889,0.878,0.117,0.175,63.515,2010,chill
Obfusc,Inverted Island,12,2014,ambient,0.68,0.513,0.0326,0.871,0.882,0.0822,0.032,107.991,2010,chill
Tor Lundvall,A Room By The Sea,23,2023,ambient,0.0862,0.116,0.044,0.923,0.96,0.365,0.0338,86.227,2020,chill
Lowercase Noises,The Gate Beautiful,5,2010,ambient,0.18,0.349,0.0329,0.473,0.907,0.105,0.0806,79.999,2010,chill
Stephan Moccio,Nuit Blanche,31,2020,ambient,0.527,0.0298,0.0582,0.994,0.947,0.0891,0.169,71.469,2020,chill
Harold Budd,The Room of Oracles,14,2000,ambient,0.0851,0.0229,0.0445,0.914,0.832,0.0926,0.0387,80.895,2000,chill
Akira Kosemura,Tale,16,2009,ambient,0.418,0.213,0.0625,0.849,3.53e-06,0.373,0.481,175.776,2000,chill
Warp Technique,History of Dreams,10,2008,ambient,0.755,0.667,0.0738,0.00956,0.444,0.08,0.158,89.997,2000,chill
Chris Russell,Aurora,6,2010,ambient,0.0802,0.137,0.0405,0.883,0.898,0.101,0.0306,71.321,2010,chill
Dystopia,Slaved Chains,30,2014,black-metal,0.272,0.902,0.0711,4.62e-06,0.704,0.0826,0.311,145.325,2010,intense
Twilight Ophera,The End Of Halcyon Age,0,2005,black-metal,0.173,0.855,0.116,3.5e-06,0.0682,0.389,0.0425,112.309,2000,intense
Archgoat,Goat and the Moon,11,2015,black-metal,0.234,0.782,0.0346,8.99e-05,0.917,0.224,0.368,131.001,2010,intense
Old Man's Child,Twilight Damnation,12,2005,black-metal,0.335,0.95,0.0761,0.000134,0.802,0.29,0.131,82.447,2000,intense
Deströyer 666,The Last Revelation,18,2000,black-metal,0.29,0.959,0.0913,2.09e-06,0.176,0.206,0.0372,160.57,2000,intense
Cirith Gorgor,The Declaration Of Our Neverending War,10,2008,black-metal,0.126,0.951,0.0785,1.8e-06,0.378,0.374,0.0479,97.652,2000,intense
Vintersorg,Naturens Galleri,9,2000,black-metal,0.41,0.93,0.111,8.27e-05,0.0,0.339,0.194,151.0,2000,intense
Barbarian,Find The Light - Instrumental,1,2023,black-metal,0.441,0.749,0.0317,0.247,0.928,0.117,0.0725,151.883,2020,intense
The Breathing Process,Shadow Self,16,2021,black-metal,0.214,0.965,0.161,0.000191,8.93e-05,0.0771,0.0652,114.922,2020,intense
Inquisition,Hymn for a Dead Star,9,2011,black-metal,0.0729,0.924,0.0704,2.74e-06,0.889,0.331,0.0336,178.173,2010,intense
Vinterriket,Illusion des Eises,1,2006,black-metal,0.182,0.213,0.0455,0.887,0.908,0.116,0.0332,122.565,2000,intense
Bethlehem,Kandierte Verlosung zu Ross,2,2010,black-metal,0.0872,0.485,0.0575,0.000234,0.914,0.647,0.366,87.198,2010,intense
Månegarm,Dödens strand,15,2005,black-metal,0.178,0.818,0.0475,0.000268,0.0368,0.405,0.536,148.159,2000,intense
Funeral Mist,Breathing Wound,13,2003,black-metal,0.242,0.998,0.494,9.58e-06,0.893,0.11,0.0244,104.869,2000,intense
Vreid,Svart,2,2010,black-metal,0.145,0.964,0.0579,3.43e-06,0.682,0.646,0.181,165.241,2010,intense
Burzum,Heljarmyrkr - Death's Darkness,15,2013,black-metal,0.244,0.0685,0.0402,0.979,0.0499,0.0851,0.0774,126.688,2010,intense
Thy Catafalque,Fekete mezők,13,2011,black-metal,0.335,0.836,0.0486,2.9e-06,0.936,0.0708,0.218,139.933,2010,intense
Agathodaimon,Sacred Divinity,7,2001,black-metal,0.455,0.661,0.0264,0.0387,5.14e-05,0.0726,0.211,95.02,2000,intense
Dawn Of Ashes,Ahriman,7,2019,black-metal,0.293,0.971,0.0731,1.05e-05,0.329,0.107,0.0622,165.064,2010,intense
Carnifex,No Light Shall Save Us,30,2019,black-metal,0.466,0.946,0.103,1.61e-05,0.0132,0.36,0.0661,112.486,2010,intense
Bewitcher,Ashe,13,2021,black-metal,0.493,0.464,0.0306,0.0682,0.447,0.577,0.372,120.032,2020,intense
Abigail Williams,The Departure,18,2008,black-metal,0.104,0.946,0.114,0.000149,0.916,0.4,0.0955,174.933,2000,intense
Livercage,The Walker Thing,0,2006,black-metal,0.397,0.625,0.0462,0.682,0.9,0.113,0.185,121.048,2000,intense
Mayhem,"Completion in Science of Agony, Pt 1",12,2000,black-metal,0.222,0.871,0.0805,0.000407,0.232,0.23,0.0799,90.947,2000,intense
Eisregen,Born Dead,5,2012,black-metal,0.449,0.975,0.0845,4.08e-05,0.0102,0.281,0.37,154.983,2010,intense
Winds of Plague,Blood Of My Enemy,21,2017,black-metal,0.494,0.895,0.0607,0.00159,1.56e-06,0.402,0.244,135.033,2010,intense
Ihsahn,Something Out There,11,2012,black-metal,0.178,0.954,0.091,2.78e-06,0.907,0.294,0.0963,98.853,2010,intense
Desperandum Gothica,Crepusculum Deorum,0,2023,black-metal,0.166,0.305,0.0471,0.144,0.531,0.232,0.0401,113.046,2020,intense
Deadspace,Oblivion,13,2017,black-metal,0.191,0.322,0.0435,0.889,0.0306,0.106,0.127,80.688,2010,intense
Keep Of Kalessin,Origin,5,2012,black-metal,0.335,0.491,0.0336,0.583,0.97,0.186,0.0542,141.488,2010,intense
Phish,Stairway To Heaven,10,2011,blues,0.209,0.966,0.147,0.0184,0.0109,0.908,0.189,93.52,2010,melancholic
Phish,Peaches En Regalia,13,2007,blues,0.489,0.776,0.0303,0.654,0.871,0.426,0.571,103.701,2000,melancholic
Jimi Hendrix,Are You Experienced - Anthology Version,10,2010,blues,0.432,0.703,0.0913,0.000755,0.813,0.0951,0.541,86.181,2010,melancholic
Country Teasers,Tough Luck on Jock,6,2002,blues,0.315,0.485,0.0427,0.0748,4.74e-05,0.0367,0.447,173.616,2000,melancholic
Solomon Burke,Suddenly,28,2020,blues,0.705,0.627,0.0583,0.337,6.21e-05,0.135,0.662,113.524,2020,melancholic
Amadou & Mariam,Je Te Kiffe (feat. Juan Rozoff),22,2008,blues,0.514,0.836,0.0549,0.416,0.0,0.0919,0.561,77.447,2000,melancholic
Blues Saraceno,Devil in You,25,2018,blues,0.773,0.291,0.039,0.00102,0.564,0.337,0.677,121.974,2010,melancholic
Tucka,Til the Sun Comes Up,36,2016,blues,0.814,0.66,0.0339,0.257,0.0,0.144,0.967,110.048,2010,melancholic
Extreme Music,Pure Evil,20,2015,blues,0.428,0.532,0.0457,0.00725,1.86e-05,0.282,0.431,126.013,2010,melancholic
Ty Segall,Rain,22,2018,blues,0.348,0.208,0.0331,0.505,0.000106,0.152,0.246,111.67,2010,melancholic
Los Lonely Boys,Blame It on Love,22,2013,blues,0.683,0.846,0.0364,0.0318,1.99e-06,0.325,0.656,124.03,2010,melancholic
Joe Bonamassa,I Didn't Think She Would Do It,24,2020,blues,0.507,0.922,0.0428,0.00234,0.01,0.35,0.624,145.089,2020,melancholic
Tony Sarno,Screamin' Blues Demon (It's A Blues Thing),24,2006,blues,0.278,0.577,0.0307,0.00144,0.838,0.22,0.276,154.428,2000,melancholic
Professor Longhair,Junco Partner,11,2002,blues,0.381,0.487,0.041,0.728,2.28e-05,0.311,0.923,169.878,2000,melancholic
Blind Melon,In the Very Best Way,26,2020,blues,0.572,0.82,0.052,0.0169,0.00453,0.0986,0.296,97.402,2020,melancholic
Phish,Gorge '98 Soundcheck Jam - Live,25,2023,blues,0.545,0.623,0.0386,0.508,0.419,0.208,0.962,125.97,2020,melancholic
Nina Simone,I Can't See Nobody - Daniel Y. Remix,31,2006,blues,0.67,0.587,0.07,0.22,0.0491,0.128,0.445,97.817,2000,melancholic
Black Joe Lewis & The Honeybears,Wasted,15,2017,blues,0.558,0.774,0.0288,0.513,0.0456,0.0758,0.787,89.969,2010,melancholic
Robert Randolph & The Family Band,Soul Refreshing,31,2003,blues,0.42,0.7,0.047,0.0119,0.0296,0.0975,0.718,81.65,2000,melancholic
Ten Years After,Baby Won't You Let Me Rock 'N' Roll You - Chris Kimsey 2023 Mix,12,2023,blues,0.291,0.803,0.037,0.0635,0.0,0.251,0.968,155.303,2020,melancholic
Methrone,Slip & Slide,11,2023,blues,0.766,0.48,0.0315,0.547,0.0,0.0673,0.581,113.989,2020,melancholic
Peggy Scott-Adams,If It Ain't Broke Don’t Fix It,9,2023,blues,0.933,0.62,0.0378,0.245,7.1e-05,0.0999,0.967,98.016,2020,melancholic
The Who,Baba O'Riley,25,2014,blues,0.392,0.578,0.0364,0.405,0.248,0.185,0.173,117.712,2010,melancholic
Hanni El Khatib,"Fuck It, You Win",20,2011,blues,0.552,0.938,0.0957,4.99e-05,2.51e-06,0.129,0.606,122.91,2010,melancholic
Ray Charles,Born To Lose,28,2009,blues,0.163,0.208,0.0353,0.707,2.71e-05,0.227,0.282,84.427,2000,melancholic
Black Eyed Snakes,Honey,8,2001,blues,0.56,0.751,0.172,0.00696,0.925,0.106,0.497,113.317,2000,melancholic
Grace Potter & The Nocturnals,Parachute Heart,23,2012,blues,0.595,0.847,0.0284,0.031,0.000358,0.146,0.77,121.021,2010,melancholic
Otis Redding,Pain in My Heart,15,2013,blues,0.453,0.276,0.0393,0.733,0.000228,0.126,0.597,163.353,2010,melancholic
WAR*HALL,I'm Trouble,31,2016,blues,0.595,0.745,0.102,0.0976,8.3e-05,0.0798,0.645,87.897,2010,melancholic
The James Hunter Six,If Only I Knew,23,2013,blues,0.787,0.375,0.0569,0.871,1.04e-05,0.125,0.841,127.523,2010,melancholic
Hybrid,All Torque - Toydrum Remix,7,2016,breakbeat,0.383,0.681,0.0325,0.00427,0.313,0.133,0.11,101.583,2010,chill
Evil Nine,Earth,15,2004,breakbeat,0.773,0.936,0.0597,0.185,0.0,0.244,0.721,92.004,2000,chill
OnDaMiKe,R U GONNA B - Album Mix,0,2019,breakbeat,0.62,0.949,0.0669,0.0061,0.00461,0.0554,0.158,130.037,2010,chill
Atomic Hooligan,Safeguard,0,2008,breakbeat,0.594,0.862,0.0611,0.00208,0.000727,0.216,0.387,98.98,2000,chill
The Future Sound Of London,I A I A I A I A I A,1,2012,breakbeat,0.604,0.944,0.0729,0.0637,0.126,0.201,0.645,108.459,2010,chill
DJ Fixx,More Science - original,0,2007,breakbeat,0.76,0.835,0.091,0.00101,0.816,0.037,0.697,135.942,2000,chill
Meat Katie,Just Quiet - Neurodriver Remix,0,2017,breakbeat,0.808,0.685,0.0856,0.00148,0.877,0.074,0.28,125.987,2010,chill
The Brainkiller,Sickness - Original Mix,0,2015,breakbeat,0.605,0.926,0.0509,0.00212,0.871,0.0943,0.674,131.987,2010,chill
Deekline,Gotta Believe - Left/Right Remix,0,2016,breakbeat,0.695,0.821,0.0866,0.00707,0.0613,0.0385,0.487,130.001,2010,chill
Suga7,Madafakas - Hardbass Mix,0,2016,breakbeat,0.791,0.947,0.0551,0.00238,0.202,0.0826,0.856,132.005,2010,chill
OnDaMiKe,Somebody's Watching Me - 2021 Mix,0,2021,breakbeat,0.676,0.938,0.0451,0.000185,0.0339,0.0993,0.313,130.018,2020,chill
The Brainkiller,Drama,0,2020,breakbeat,0.589,0.91,0.0528,0.0082,0.141,0.441,0.161,131.993,2020,chill
Drumattic Twins,Can't Give You Up,1,2013,breakbeat,0.685,0.859,0.0349,0.0163,0.902,0.205,0.927,130.881,2010,chill
Deibeat,BodyRock - Original Mix,0,2015,breakbeat,0.767,0.69,0.148,0.00341,0.000578,0.0364,0.749,127.99,2010,chill
Drumattic Twins,Feelin Kinda Strange - Bass Kleph & Nick Thayer Remix,8,2011,breakbeat,0.656,0.953,0.0561,0.000981,0.321,0.81,0.508,134.937,2010,chill
The Breakfastaz,The March - 2008 Remastered Version,0,2008,breakbeat,0.627,0.908,0.0465,0.000366,0.847,0.0412,0.802,137.995,2000,chill
DJ Icey,Dreams - Kolo & Cannalte Remix,0,2003,breakbeat,0.748,0.899,0.0827,0.0427,0.921,0.069,0.494,130.974,2000,chill
The Autobots,Flesh Eater,6,2004,breakbeat,0.579,0.972,0.0496,7.24e-05,0.695,0.644,0.878,136.015,2000,chill
Lee Coombs,Alright All Night featuring Dylan Rhymes,11,2004,breakbeat,0.659,0.667,0.0486,9.01e-05,0.865,0.0274,0.105,127.979,2000,chill
Huda Hudia,IMMA FREAKA,0,2018,breakbeat,0.815,0.694,0.0703,0.0215,0.581,0.0375,0.719,126.009,2010,chill
Digital Base,Heaven,0,2020,breakbeat,0.678,0.968,0.169,0.0369,0.629,0.092,0.808,132.947,2020,chill
